team,rank_in_team,player_name,club,position,goals_per90,xg_per90,blended_per90,xg_imputed,manual_source,total_minutes,within_top3_share,goal_share
Serbia,1,Dusan Vlahovic,Juventus,F S,0.5653539502295241,0.7231321176759292,0.6442430339527266,False,False,4139,0.5560108566357779,0.36140705681325563
Serbia,2,Luka Jovic,AC Milan,F S,0.5168700646087581,0.5120196030993344,0.5144448338540462,False,False,1393,0.44398914336422224,0.28859294318674444
South Africa,1,Lyle Foster,Burnley,F M S,0.2321981424148606,0.2604402695139495,0.2463192059644051,False,False,1938,1.0,0.65
Spain,1,Ferrán Torres,Barcelona,F M S,0.6766917293233082,0.6300927325259369,0.6533922309246225,False,False,2261,0.33787128048798504,0.21961633231719027
Spain,2,Joselu,Real Madrid,F S,0.5518087063151441,0.7484468202958034,0.6501277633054738,False,False,1631,0.336183213500974,0.2185190887756331
Spain,3,Álvaro Morata,AC Milan,F M S,0.5932762030323007,0.6673829510977434,0.630329577065022,False,False,3034,0.325945506011041,0.21186457890717666
Switzerland,1,Breel Embolo,Monaco,F M S,0.3106508875739645,0.5859731906231427,0.4483120390985535,False,False,2028,0.6290055013327628,0.40885357586629584
Switzerland,2,Ruben Vargas,Augsburg,M S,0.1801200800533689,0.2357647166754541,0.2079423983644115,False,False,2998,0.29175418263258,0.189640218711177
Switzerland,3,Granit Xhaka,Bayer Leverkusen,M,0.078301722637898,0.0346524171432023,0.0564770698905501,False,False,5747,0.07924031603465714,0.051506205422527145
Tunisia,1,Wahbi Khazri,Montpellier,F M S,0.0805369127516778,0.2453812671912796,0.1629590899714787,False,False,2235,1.0,0.65
USA,1,Folarin Balogun,Monaco,F S,0.4241645244215938,0.6809845889001549,0.5525745566608744,False,False,2334,0.4906486961914565,0.31892165252444676
USA,2,Christian Pulisic,AC Milan,F M S,0.3999227202472952,0.3440882474071759,0.3720054838272355,False,False,5176,0.3303156169890818,0.21470515104290316
USA,3,Giovanni Reyna,Borussia Dortmund,M S,0.2349869451697127,0.16827741093136,0.2016321780505363,False,False,766,0.17903568681946178,0.11637319643265016
Ukraine,1,Artem Dovbyk,Roma,F S,0.6313328137178488,0.6605966725667599,0.6459647431423043,False,False,5132,0.6244569084838782,0.4058969905145209
Ukraine,2,Roman Yaremchuk,Valencia,F S,0.2903225806451613,0.4037309502581915,0.3470267654516764,False,False,930,0.33547227370484306,0.218056977908148
Ukraine,3,Oleksandr Zinchenko,Arsenal,D M S,0.0401427297056199,0.042759181325549,0.0414509555155845,False,False,2242,0.04007081781127861,0.026046031577331097
Uruguay,1,Darwin Núñez,Liverpool,F S,0.463171437761338,0.7555514825049676,0.6093614601331528,False,False,3109,0.4635821575327736,0.3013284023963029
Uruguay,2,Luis Suárez,Almeria,F M S,0.5856832971800434,0.5281880847430928,0.5569356909615681,False,False,922,0.423698356582238,0.2754039317784547
Uruguay,3,Facundo Pellistri,Granada,F M S,0.1298701298701298,0.1664609924055539,0.1481655611378419,False,False,1386,0.11271948588498837,0.07326766582524244
Venezuela,1,Darwin Machís,Real Valladolid,F M S,0.2553191489361702,0.1785460467985336,0.2169325978673519,False,False,1410,1.0,0.65
